"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2023","1,152.52","1,157.58","1,159.69","1,142.32","383.14M","-0.07%"
"04/03/2023","1,153.35","1,153.09","1,158.53","1,145.53","425.52M","-0.91%"
"03/31/2023","1,163.98","1,140.01","1,164.49","1,140.01","464.82M","2.62%"
"03/30/2023","1,134.30","1,134.59","1,140.16","1,129.80","379.16M","0.90%"
"03/29/2023","1,124.22","1,115.08","1,124.78","1,111.68","404.16M","1.91%"
"03/28/2023","1,103.20","1,105.39","1,107.09","1,095.66","362.33M","-0.11%"
"03/27/2023","1,104.44","1,112.56","1,116.72","1,099.94","450.89M","0.18%"
"03/24/2023","1,102.47","1,101.77","1,104.29","1,088.79","425.68M","-0.35%"
"03/23/2023","1,106.39","1,119.67","1,128.38","1,095.45","475.47M","-0.05%"
"03/22/2023","1,106.94","1,133.75","1,140.78","1,106.79","474.06M","-2.20%"
"03/21/2023","1,131.84","1,114.70","1,133.37","1,114.10","477.58M","2.71%"
"03/20/2023","1,101.95","1,094.69","1,107.88","1,088.13","455.84M","0.39%"
"03/17/2023","1,097.66","1,110.12","1,112.33","1,088.57","812.43M","-1.24%"
"03/16/2023","1,111.48","1,086.45","1,116.09","1,084.31","512.24M","1.88%"
"03/15/2023","1,090.94","1,078.75","1,091.96","1,071.31","570.73M","-0.21%"
"03/14/2023","1,093.24","1,088.01","1,096.02","1,079.51","512.78M","1.71%"
"03/13/2023","1,074.90","1,058.70","1,088.23","1,053.27","602.80M","0.23%"
"03/10/2023","1,072.43","1,086.93","1,097.82","1,068.92","547.28M","-0.98%"
"03/09/2023","1,083.03","1,108.97","1,118.77","1,081.95","486.71M","-2.36%"
"03/08/2023","1,109.19","1,108.91","1,110.17","1,098.47","400.95M","-0.26%"
"03/07/2023","1,112.05","1,127.33","1,131.15","1,111.59","404.66M","-1.37%"
"03/06/2023","1,127.45","1,137.34","1,142.43","1,127.19","403.76M","-0.71%"
"03/03/2023","1,135.50","1,121.45","1,137.50","1,119.06","459.91M","2.12%"
"03/02/2023","1,111.95","1,095.80","1,113.49","1,094.96","489.17M","-0.32%"
"03/01/2023","1,115.49","1,127.48","1,129.46","1,109.33","483.87M","-1.28%"
"02/28/2023","1,130.01","1,131.24","1,138.14","1,125.43","570.43M","-0.05%"
"02/27/2023","1,130.63","1,130.60","1,139.12","1,126.36","435.75M","1.18%"
"02/24/2023","1,117.47","1,114.47","1,119.23","1,108.13","419.11M","-1.56%"
"02/23/2023","1,135.21","1,139.81","1,140.35","1,116.17","451.49M","-0.09%"
"02/22/2023","1,136.21","1,133.00","1,143.52","1,128.16","480.70M","0.52%"
"02/21/2023","1,130.38","1,147.89","1,154.74","1,130.19","484.99M","-3.34%"
"02/17/2023","1,169.45","1,163.40","1,169.68","1,149.63","504.56M","0.04%"
"02/16/2023","1,168.99","1,178.91","1,193.14","1,168.82","513.86M","-2.16%"
"02/15/2023","1,194.85","1,178.59","1,194.90","1,173.42","449.22M","1.16%"
"02/14/2023","1,181.11","1,158.64","1,183.62","1,151.98","510.87M","1.18%"
"02/13/2023","1,167.37","1,150.07","1,167.66","1,143.03","459.99M","1.46%"
"02/10/2023","1,150.55","1,153.90","1,159.37","1,141.20","516.38M","-1.22%"
"02/09/2023","1,164.75","1,182.95","1,190.31","1,159.20","570.25M","-0.21%"
"02/08/2023","1,167.17","1,172.93","1,176.51","1,159.62","503.66M","-0.89%"
"02/07/2023","1,177.70","1,169.08","1,180.72","1,148.23","603.32M","0.22%"
"02/06/2023","1,175.12","1,173.03","1,182.26","1,165.53","506.32M","-0.13%"
"02/03/2023","1,176.67","1,176.24","1,204.75","1,171.42","725.70M","-3.11%"
"02/02/2023","1,214.42","1,203.51","1,228.49","1,198.23","722.94M","3.08%"
"02/01/2023","1,178.10","1,154.26","1,187.01","1,141.57","571.34M","1.89%"
"01/31/2023","1,156.22","1,132.04","1,156.33","1,131.72","574.04M","2.22%"
"01/30/2023","1,131.09","1,142.82","1,149.25","1,129.98","546.30M","-1.71%"
"01/27/2023","1,150.81","1,127.16","1,159.39","1,126.41","647.45M","2.27%"
"01/26/2023","1,125.24","1,122.99","1,127.80","1,111.03","530.36M","2.03%"
"01/25/2023","1,102.83","1,078.57","1,103.99","1,072.26","468.15M","0.54%"
"01/24/2023","1,096.90","1,086.75","1,102.04","1,086.37","419.52M","-0.17%"
"01/23/2023","1,098.79","1,085.35","1,102.52","1,078.55","500.49M","1.57%"
"01/20/2023","1,081.81","1,058.12","1,082.22","1,053.41","441.44M","2.46%"
"01/19/2023","1,055.81","1,066.06","1,068.96","1,050.70","480.99M","-1.69%"
"01/18/2023","1,073.99","1,100.00","1,105.25","1,073.38","515.94M","-1.30%"
"01/17/2023","1,088.11","1,091.75","1,096.68","1,084.97","516.27M","0.07%"
"01/13/2023","1,087.35","1,062.72","1,087.99","1,061.60","543.99M","0.97%"
"01/12/2023","1,076.86","1,081.98","1,082.95","1,059.73","512.46M","0.17%"
"01/11/2023","1,075.02","1,056.12","1,075.14","1,056.12","519.97M","2.68%"
"01/10/2023","1,046.97","1,036.07","1,047.00","1,029.35","439.70M","1.26%"
"01/09/2023","1,033.93","1,039.83","1,050.54","1,033.28","501.71M","0.57%"
"01/06/2023","1,028.10","1,001.09","1,031.70","994.32","542.17M","2.40%"
"01/05/2023","1,004.03","1,007.65","1,010.47","997.78","443.72M","-0.95%"
"01/04/2023","1,013.67","1,010.94","1,021.06","996.49","510.94M","1.41%"
"01/03/2023","999.54","1,010.71","1,014.09","987.46","531.48M","-0.59%"
"12/30/2022","1,005.48","998.21","1,005.53","994.06","392.48M","-0.28%"
"12/29/2022","1,008.32","997.21","1,010.48","993.69","475.81M","2.57%"
"12/28/2022","983.06","992.04","1,001.36","981.17","467.37M","-0.86%"
"12/27/2022","991.55","1,003.95","1,004.51","990.89","459.44M","-1.64%"
"12/23/2022","1,008.10","998.90","1,010.70","991.92","398.93M","0.71%"
"12/22/2022","1,000.97","1,016.53","1,016.53","986.40","595.52M","-2.59%"
"12/21/2022","1,027.58","1,024.87","1,032.90","1,019.99","492.48M","1.58%"
"12/20/2022","1,011.57","1,017.65","1,025.51","1,010.30","495.67M","-1.13%"
"12/19/2022","1,023.14","1,041.22","1,041.45","1,019.29","507.43M","-1.66%"
"12/16/2022","1,040.40","1,053.75","1,056.83","1,034.14","738.28M","-1.74%"
"12/15/2022","1,058.81","1,062.91","1,065.24","1,050.84","479.53M","-1.78%"
"12/14/2022","1,078.04","1,084.72","1,092.59","1,066.16","476.05M","-0.73%"
"12/13/2022","1,085.93","1,119.67","1,128.28","1,073.85","572.11M","0.20%"
"12/12/2022","1,083.79","1,077.00","1,083.81","1,070.74","391.01M","0.39%"
"12/09/2022","1,079.62","1,078.29","1,090.27","1,076.79","379.90M","-0.52%"
"12/08/2022","1,085.24","1,076.61","1,088.88","1,070.21","370.25M","1.05%"
"12/07/2022","1,073.98","1,071.47","1,085.28","1,069.33","377.19M","-0.48%"
"12/06/2022","1,079.12","1,094.86","1,098.04","1,070.37","414.98M","-1.62%"
"12/05/2022","1,096.92","1,115.65","1,118.71","1,094.34","408.21M","-2.95%"
"12/02/2022","1,130.29","1,117.01","1,133.08","1,117.01","368.52M","-0.19%"
"12/01/2022","1,132.42","1,139.78","1,140.89","1,124.46","406.34M","-0.11%"
"11/30/2022","1,133.65","1,096.10","1,133.66","1,087.93","582.71M","3.48%"
"11/29/2022","1,095.49","1,101.75","1,104.51","1,091.67","359.06M","-0.44%"
"11/28/2022","1,100.38","1,101.83","1,114.54","1,098.15","386.07M","-0.60%"
"11/25/2022","1,107.04","1,106.33","1,111.01","1,101.90","186.49M","0.06%"
"11/23/2022","1,106.37","1,096.60","1,108.99","1,093.35","358.75M","1.33%"
"11/22/2022","1,091.89","1,083.71","1,092.50","1,076.15","355.67M","1.17%"
"11/21/2022","1,079.21","1,089.23","1,093.36","1,072.74","382.68M","-1.41%"
"11/18/2022","1,094.65","1,107.36","1,107.36","1,081.95","383.93M","0.04%"
"11/17/2022","1,094.22","1,092.54","1,099.47","1,084.58","437.04M","-1.27%"
