"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2023","510.66","512.71","512.71","508.69","70.80M","-0.68%"
"06/27/2023","514.15","507.68","514.79","506.92","65.82M","1.40%"
"06/26/2023","507.06","502.96","507.88","502.69","61.23M","1.00%"
"06/23/2023","502.04","501.30","502.90","498.38","96.28M","-0.78%"
"06/22/2023","505.99","505.21","506.47","501.39","61.80M","-0.29%"
"06/21/2023","507.46","503.83","509.42","501.95","71.09M","0.35%"
"06/20/2023","505.67","508.78","508.78","502.97","82.33M","-1.26%"
"06/16/2023","512.10","511.85","512.82","509.08","170.30M","0.11%"
"06/15/2023","511.54","507.01","513.43","506.19","69.78M","0.85%"
"06/14/2023","507.22","512.33","513.22","504.50","68.93M","-0.43%"
"06/13/2023","509.43","499.81","509.64","499.81","81.17M","2.33%"
"06/12/2023","497.82","495.91","498.48","492.99","68.41M","0.44%"
"06/09/2023","495.64","498.86","498.86","493.87","67.00M","-0.82%"
"06/08/2023","499.75","501.76","503.01","496.46","70.43M","-0.35%"
"06/07/2023","501.50","495.42","501.99","495.29","85.00M","1.18%"
"06/06/2023","495.67","490.98","496.95","490.96","75.06M","0.65%"
"06/05/2023","492.46","493.28","498.16","490.87","81.89M","-0.10%"
"06/02/2023","492.95","485.51","494.03","485.51","101.47M","3.37%"
"06/01/2023","476.86","472.63","478.41","471.07","89.17M","1.24%"
"05/31/2023","471.02","473.78","474.90","469.18","142.97M","-1.12%"
"05/30/2023","476.37","479.17","479.32","472.87","80.34M","-0.59%"
"05/26/2023","479.21","479.30","482.37","477.26","70.83M","0.42%"
"05/25/2023","477.22","478.85","479.46","474.69","78.10M","-0.38%"
"05/24/2023","479.04","483.45","483.45","478.16","75.35M","-1.12%"
"05/23/2023","484.49","488.80","489.82","483.63","73.82M","-1.54%"
"05/22/2023","492.05","495.39","497.15","491.48","58.33M","-0.55%"
"05/19/2023","494.76","495.16","497.27","492.24","61.82M","0.26%"
"05/18/2023","493.48","489.52","493.99","486.21","65.80M","0.55%"
"05/17/2023","490.79","489.43","492.62","487.66","75.84M","0.67%"
"05/16/2023","487.54","493.31","493.33","487.42","69.85M","-1.64%"
"05/15/2023","495.69","493.37","496.01","491.04","70.18M","0.85%"
"05/12/2023","491.53","492.13","493.84","487.42","62.52M","0.17%"
"05/11/2023","490.69","491.74","492.37","488.49","83.08M","-0.99%"
"05/10/2023","495.59","499.17","501.15","490.22","74.90M","0.05%"
"05/09/2023","495.34","497.77","497.96","493.35","68.74M","-0.93%"
"05/08/2023","500.01","503.57","505.07","499.19","60.69M","-0.30%"
"05/05/2023","501.50","497.98","503.23","497.88","75.78M","1.66%"
"05/04/2023","493.32","496.97","500.49","492.18","107.44M","-0.64%"
"05/03/2023","496.50","503.49","504.92","496.30","94.83M","-1.11%"
"05/02/2023","502.06","503.81","504.13","494.22","87.16M","-0.95%"
"05/01/2023","506.87","508.40","510.20","506.00","62.03M","-0.04%"
"04/28/2023","507.06","500.77","507.99","500.09","81.97M","1.13%"
"04/27/2023","501.40","496.12","501.45","493.21","73.42M","1.36%"
"04/26/2023","494.68","499.40","500.10","492.97","72.87M","-1.18%"
"04/25/2023","500.58","506.97","507.34","500.27","85.28M","-2.15%"
"04/24/2023","511.57","509.15","511.65","508.49","69.43M","0.69%"
"04/21/2023","508.05","510.22","511.28","505.42","86.46M","-0.91%"
"04/20/2023","512.69","510.61","514.23","509.49","67.44M","-0.07%"
"04/19/2023","513.07","512.39","513.66","510.11","62.15M","-0.31%"
"04/18/2023","514.68","514.43","516.27","512.26","63.63M","0.40%"
"04/17/2023","512.64","510.16","512.64","508.43","60.73M","0.59%"
"04/14/2023","509.65","512.54","515.54","507.06","63.19M","-0.67%"
"04/13/2023","513.11","508.90","514.90","507.41","75.99M","1.01%"
"04/12/2023","508.00","510.92","512.46","507.34","64.73M","0.07%"
"04/11/2023","507.65","505.96","510.47","505.82","77.05M","0.73%"
"04/10/2023","503.98","499.75","504.72","499.01","62.64M","0.49%"
"04/06/2023","501.51","500.21","501.88","497.72","74.21M","-0.22%"
"04/05/2023","502.61","499.92","503.21","498.15","84.29M","-0.22%"
"04/04/2023","503.73","509.73","510.09","501.84","87.90M","-1.47%"
"04/03/2023","511.23","509.04","512.37","507.45","78.00M","0.65%"
"03/31/2023","507.92","501.00","508.18","500.99","67.89M","1.57%"
"03/30/2023","500.05","501.15","501.84","498.24","58.65M","0.64%"
"03/29/2023","496.86","495.23","497.14","494.66","65.63M","1.39%"
"03/28/2023","490.07","488.30","490.82","487.23","48.00M","0.50%"
"03/27/2023","487.64","487.46","491.08","484.28","68.71M","0.74%"
"03/24/2023","484.05","477.14","485.18","473.18","78.84M","0.81%"
"03/23/2023","480.17","482.79","489.87","476.56","78.15M","-0.14%"
"03/22/2023","480.84","489.12","492.33","480.79","73.73M","-1.76%"
"03/21/2023","489.45","489.11","491.07","486.38","69.35M","1.23%"
"03/20/2023","483.52","478.28","483.94","478.28","84.82M","2.01%"
"03/17/2023","474.00","480.19","480.19","473.18","194.53M","-1.54%"
"03/16/2023","481.41","471.92","482.07","470.18","102.96M","1.17%"
"03/15/2023","475.82","480.62","481.17","469.45","122.98M","-3.28%"
"03/14/2023","491.94","493.35","497.73","486.71","99.65M","1.25%"
"03/13/2023","485.89","486.15","492.02","482.48","105.45M","-1.09%"
"03/10/2023","491.26","502.45","502.45","488.66","87.45M","-2.15%"
"03/09/2023","502.05","515.16","517.19","500.49","68.95M","-2.54%"
"03/08/2023","515.12","512.67","516.39","511.24","67.05M","0.47%"
"03/07/2023","512.73","521.53","521.53","511.15","79.36M","-1.99%"
"03/06/2023","523.14","528.98","529.84","522.36","71.45M","-1.65%"
"03/03/2023","531.90","526.76","532.11","523.86","66.64M","1.40%"
"03/02/2023","524.56","516.28","525.74","514.94","70.13M","1.20%"
"03/01/2023","518.32","516.72","523.61","516.27","72.66M","0.68%"
"02/28/2023","514.81","511.98","517.92","511.30","93.95M","0.45%"
"02/27/2023","512.51","514.33","517.35","512.11","71.15M","0.23%"
"02/24/2023","511.33","499.23","511.89","496.84","92.31M","0.65%"
"02/23/2023","508.01","508.74","511.26","500.50","79.83M","0.18%"
"02/22/2023","507.08","505.09","509.59","503.32","76.49M","0.68%"
"02/21/2023","503.68","510.44","511.03","502.85","85.66M","-1.63%"
"02/17/2023","512.00","514.36","514.36","509.26","93.59M","-0.96%"
"02/16/2023","516.98","517.93","522.84","514.32","72.65M","-1.15%"
"02/15/2023","522.99","516.66","523.00","515.72","69.26M","0.44%"
"02/14/2023","520.68","517.33","522.05","514.81","71.36M","0.22%"
"02/13/2023","519.56","517.23","520.53","514.64","65.11M","0.51%"
"02/10/2023","516.93","513.58","517.55","510.82","68.22M","0.36%"
"02/09/2023","515.10","526.48","528.78","512.71","84.37M","-1.41%"
"02/08/2023","522.45","524.93","529.02","522.16","71.85M","-0.81%"
"02/07/2023","526.71","518.45","527.98","518.35","84.96M","1.30%"
"02/06/2023","519.96","522.17","523.09","517.05","81.09M","-1.08%"
"02/03/2023","525.63","529.37","533.44","524.87","82.83M","-1.82%"
"02/02/2023","535.36","534.85","536.74","527.45","100.91M","-0.28%"
"02/01/2023","536.88","531.81","541.10","527.03","91.09M","0.65%"
"01/31/2023","533.40","523.27","533.45","522.61","103.80M","2.23%"
"01/30/2023","521.79","523.05","528.56","521.29","65.09M","-0.70%"
"01/27/2023","525.46","524.99","529.05","523.10","71.39M","-0.34%"
"01/26/2023","527.24","521.73","527.34","518.81","85.19M","0.48%"
"01/25/2023","524.70","519.30","524.84","516.20","73.65M","0.20%"
"01/24/2023","523.64","523.62","524.34","516.12","61.99M","0.04%"
"01/23/2023","523.43","520.28","525.46","518.32","63.64M","0.32%"
"01/20/2023","521.77","513.45","521.96","510.18","71.68M","2.05%"
"01/19/2023","511.31","513.35","513.39","507.25","71.36M","-0.77%"
"01/18/2023","515.28","526.62","528.09","515.11","84.44M","-1.38%"
"01/17/2023","522.50","527.87","529.73","522.17","75.05M","-1.07%"
"01/13/2023","528.16","522.11","528.92","521.66","61.60M","0.67%"
"01/12/2023","524.63","524.69","526.09","518.81","69.28M","0.32%"
"01/11/2023","522.98","518.66","523.12","517.29","81.21M","1.61%"
