Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
ETR,"Entergy Corp",-0.12,102.6,-1.94,-1.86%,111.9,87.1,-5.04%,"10:09 ET"
ETSY,"Etsy Inc",-41.12,72,-2.72,-3.64%,149.91,58.2,-45.87%,"10:09 ET"
EVRG,"Evergy Inc",-12.21,53.33,-0.75,-1.39%,64.66,46.92,-16.30%,"10:09 ET"
EW,"Edwards Lifesciences Corp",-3.75,75.41,-0.71000000000001,-0.93%,94.87,60.57,-2.21%,"10:09 ET"
EXC,"Exelon Corp",-17.19,36.12,-0.52,-1.42%,44.1,34.05,-17.56%,"10:09 ET"
EXPD,"Expeditors Intl",+14.63,124.2,-0.88,-0.70%,129.18,102.89,+12.47%,"10:08 ET"
EXPE,"Expedia Group Inc",+56.60,150.83,-1.02,-0.67%,155.84,87.94,+53.22%,"10:09 ET"
EXR,"Extra Space Storage Inc",+8.50,151.96,-4.88,-3.11%,170.3,101.19,+0.69%,"10:09 ET"
F,"Ford Motor Company",-8.26,11.61,-0.22,-1.86%,15.42,9.63,-11.54%,"10:09 ET"
FANG,"Diamondback Energy",+5.59,150.49,-0.87,-0.57%,171.4,119.01,+6.21%,"10:09 ET"
FAST,"Fastenal Company",+27.84,62.69,-0.39,-0.62%,65.66,45.7,+28.23%,"10:09 ET"
FCX,"Freeport-Mcmoran Inc",-2.22,40.98,-0.32,-0.77%,46.73,32.83,-9.17%,"10:09 ET"
FDS,"Factset Research Systems Inc",+12.15,461.65,-1.12,-0.24%,478.6,377.89,+11.83%,"10:05 ET"
FDX,"Fedex Corp",+23.97,249.34,-1.47,-0.59%,285.53,183.59,+30.04%,"10:09 ET"
FE,"Firstenergy Corp",-5.52,38.27,-0.47,-1.21%,43.31,32.18,-10.03%,"10:09 ET"
FFIV,"F5 Inc",+24.92,175.66,-0.060000000000002,-0.03%,180.7,127.05,+19.53%,"10:09 ET"
FI,"Fiserv Inc",+32.05,135.41,0.0099999999999909,+0.01%,136.5,101.1,+33.63%,"10:09 ET"
FICO,"Fair Isaac and Company",+99.74,1194.25,-5.98,-0.50%,1204.27,586.6,+100.42%,"10:07 ET"
FIS,"Fidelity National Information Services",-1.93,61.79,-0.66,-1.06%,79.32,46.91,-10.45%,"10:09 ET"
FITB,"Fifth Third Bancorp",+16.01,34.41,-0.95,-2.69%,38.06,22.11,+1.27%,"10:09 ET"
FLT,"Fleetcor Technologies",+43.26,279.04,-1.22,-0.44%,285.2,185.04,+44.33%,"10:09 ET"
FMC,"FMC Corp",-54.49,59.14,-0.37,-0.62%,133.37,49.49,-54.67%,"10:08 ET"
FOX,"Fox Corp Cl B",-6.74,28.5,0.059999999999999,+0.21%,34.42,26.2,-5.12%,"10:09 ET"
FOXA,"Fox Corp Cl A",-5.89,30.81,0.14,+0.46%,37.26,28.67,-3.98%,"10:09 ET"
FRT,"Federal Realty Investment Trust",0.00,102.17,-1.08,-1.05%,115.08,85.27,-3.83%,"10:07 ET"
FSLR,"First Solar Inc",-23.51,159.03,-3.3,-2.03%,232,129.21,-6.39%,"10:09 ET"
FTNT,"Fortinet Inc",+28.37,61.51,0.14,+0.23%,81.24,44.12,+26.60%,"10:09 ET"
FTV,"Fortive Corp",+5.53,71.6,-0.22,-0.31%,79.9,62.7,+6.98%,"10:08 ET"
GD,"General Dynamics Corp",+9.20,249.98,-1.27,-0.51%,261.39,202.35,+0.62%,"10:08 ET"
GE,"General Electric Company",+58.39,128.04,-1.66,-1.28%,130.17,75.67,+66.13%,"10:09 ET"
GEHC,"Ge Healthcare Technologies Inc",+12.02,75.25,-0.92,-1.21%,87.83,61.3,+16.19%,"10:08 ET"
GEN,"Gen Digital Inc",+15.05,22.88,0.059999999999999,+0.26%,23.74,15.45,+4.37%,"10:08 ET"
GILD,"Gilead Sciences Inc",+3.51,84.48,-0.019999999999996,-0.02%,87.82,72.87,-2.99%,"10:09 ET"
GIS,"General Mills",-24.55,63.1,-0.049999999999997,-0.08%,90.89,60.33,-24.84%,"10:09 ET"
GL,"Globe Life Inc",+2.90,119.72,-0.78,-0.65%,125.02,102.23,-1.75%,"10:09 ET"
GLW,"Corning Inc",-13.08,30.4,-0.29,-0.94%,37.1,25.26,-16.20%,"10:09 ET"
GM,"General Motors Company",+2.84,35.74,-0.57,-1.57%,43.63,26.3,-4.63%,"10:09 ET"
GNRC,"Generac Holdings Inc",+6.75,121.04,-3.3,-2.65%,156.95,79.86,+9.73%,"10:09 ET"
GOOG,"Alphabet Cl C",+52.14,143.97,0.16999999999999,+0.12%,146.57,88.86,+56.93%,"10:09 ET"
GOOGL,"Alphabet Cl A",+51.54,142.48,0.19999999999999,+0.14%,145.14,88.57,+56.63%,"10:09 ET"
GPC,"Genuine Parts Company",-19.02,137.36,-0.30999999999997,-0.23%,181.37,126.35,-18.49%,"10:09 ET"
GPN,"Global Payments Inc",+29.53,132.18,-1.09,-0.82%,138.07,94.05,+26.01%,"10:09 ET"
GRMN,"Garmin Ltd",+28.59,122.63,-0.62,-0.50%,129.32,93.22,+23.38%,"10:09 ET"
GS,"Goldman Sachs Group",+9.37,375.49,-6.47,-1.69%,389.47,289.36,+3.93%,"10:09 ET"
GWW,"W.W. Grainger",+43.20,832.05,1.2199999999999,+0.15%,841,544.95,+43.03%,"10:09 ET"
HAL,"Halliburton Company",-17.84,34.05,-0.020000000000003,-0.06%,43.85,27.84,-16.66%,"10:09 ET"
HAS,"Hasbro Inc",-24.08,49.59,-1.16,-2.29%,73.57,42.66,-23.77%,"10:09 ET"
HBAN,"Huntington Bcshs",+0.51,12.51,-0.42,-3.25%,15.62,9.13,-13.01%,"10:09 ET"
HCA,"Hca Holdings Inc",+11.77,282.62,0.12,+0.04%,304.86,215.96,+12.23%,"10:09 ET"
HD,"Home Depot",+16.45,356.2,-0.60000000000002,-0.17%,359.74,274.26,+8.83%,"10:09 ET"
HES,"Hess Corp",-7.63,139.33,0.41000000000003,+0.30%,167.75,113.82,-3.88%,"10:08 ET"
HIG,"Hartford Financial Services Group",+13.80,82.4,-0.030000000000001,-0.04%,83.04,64.25,+8.25%,"10:09 ET"
HII,"Huntington Ingalls Industries",+18.30,250.76,-2.06,-0.81%,261.42,188.51,+10.72%,"10:09 ET"
HLT,"Hilton Inc",+38.42,182.32,-0.20000000000002,-0.11%,183.51,129.86,+35.87%,"10:09 ET"
HOLX,"Hologic Inc",-11.08,71.32,-0.51000000000001,-0.71%,87.88,64.02,-11.85%,"10:09 ET"
HON,"Honeywell International Inc",-2.81,200.29,-2.11,-1.04%,217.22,174.88,-5.26%,"10:09 ET"
HPE,"Hewlett Packard Enterprise Comp",+0.71,16.3,-0.13,-0.79%,18.14,13.65,-2.99%,"10:08 ET"
HPQ,"HP Inc",+8.39,30.15,-0.19,-0.63%,33.9,25.22,+5.17%,"10:09 ET"
HRL,"Hormel Foods Corp",-30.81,31.87,-0.02,-0.06%,46.95,30.12,-32.03%,"10:09 ET"
HSIC,"Henry Schein Inc",-6.47,74.25,-0.48,-0.64%,89.72,60.01,-7.73%,"10:09 ET"
HST,"Host Marriott Financial Trust",+22.86,19.58,-0.16,-0.81%,20.39,14.51,+14.22%,"10:09 ET"
HSY,"Hershey Foods Corp",-20.60,189.23,-0.41,-0.22%,276.88,178.82,-16.60%,"10:09 ET"
HUBB,"Hubbell Inc B",+35.16,321.77,-3.92,-1.20%,340.06,219.77,+37.38%,"10:09 ET"
HUM,"Humana Inc",-9.07,456.79,-2.29,-0.50%,541.21,423.29,-7.51%,"10:09 ET"
HWM,"Howmet Aerospace Inc",+38.95,55.18,-0.39,-0.70%,55.69,38.17,+37.11%,"10:09 ET"
IBM,"International Business Machines",+17.21,160.34,-0.88999999999999,-0.55%,166.34,120.55,+10.72%,"10:09 ET"
ICE,"Intercontinental Exchange",+23.42,126.69,-0.96000000000001,-0.75%,129.16,94.16,+17.41%,"10:09 ET"
IDXX,"Idexx Laboratories",+20.86,552.07,-2.17,-0.39%,568.3,372.5,+19.49%,"10:08 ET"
IEX,"Idex Corp",-9.92,207.61,-2.01,-0.96%,240.15,183.76,-11.44%,"10:08 ET"
IFF,"International Flavors & Fragrances",-21.36,79.76,-0.78,-0.97%,118.34,62.11,-30.50%,"10:09 ET"
ILMN,"Illumina Inc",-30.34,138.2,-2.43,-1.73%,238.55,89,-31.51%,"10:09 ET"
INCY,"Incyte Corp",-15.98,63.07,-1.07,-1.67%,86.29,50.27,-20.49%,"10:08 ET"
INTC,"Intel Corp",+68.48,47.04,-0.43,-0.91%,51.28,24.73,+58.93%,"10:09 ET"
INTU,"Intuit Inc",+57.71,608.9,0.19999999999993,+0.03%,631.07,378.22,+54.84%,"10:08 ET"
INVH,"Invitation Homes Inc",+7.45,33.81,-0.36,-1.05%,36.53,28.49,+8.92%,"10:09 ET"
IP,"International Paper Company",+4.80,37.37,-0.19,-0.51%,41.89,29,+0.08%,"10:09 ET"
IPG,"Interpublic Group of Companies",-10.46,31.85,-0.73,-2.24%,40.95,27.2,-10.95%,"10:09 ET"
IQV,"Iqvia Holdings Inc",-3.43,209.69,-7.44,-3.43%,241.86,167.42,-5.03%,"10:09 ET"
IR,"Ingersoll Rand Inc",+36.40,75.82,-0.47000000000001,-0.62%,78.16,51.84,+33.94%,"10:08 ET"
IRM,"Iron Mountain Inc",+27.25,65.91,-1.27,-1.89%,70.66,48.94,+28.74%,"10:08 ET"
