Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
PKG,"Packaging Corp of America",+26.71,165.74,-0.20999999999998,-0.13%,171.61,122.2,+24.85%,"10:09 ET"
PLD,"Prologis Inc",+12.98,131.66,-1.89,-1.42%,137.52,96.64,+9.59%,"10:09 ET"
PM,"Philip Morris International Inc",-5.88,94.14,-0.33,-0.35%,105.62,87.23,-7.72%,"10:09 ET"
PNC,"PNC Bank",+4.89,150.15,-5.03,-3.24%,169.07,109.4,-8.65%,"10:09 ET"
PNR,"Pentair Ltd",+40.16,70.59,-0.14999999999999,-0.21%,73.26,47.9,+44.20%,"10:08 ET"
PNW,"Pinnacle West Capital Corp",-6.40,72.19,-1.34,-1.82%,86.03,68.55,-5.17%,"10:09 ET"
PODD,"Insulet Corp",-31.81,203.01,-2.06,-1.00%,335.91,125.82,-32.78%,"10:07 ET"
POOL,"Pool Corp",+12.94,381.91,-7.94,-2.04%,423.97,307.77,+12.19%,"10:07 ET"
PPG,"PPG Industries",+12.73,146.42,-0.87,-0.59%,152.89,120.32,+11.16%,"10:09 ET"
PPL,"PPL Corp",-5.06,27.21,-0.4,-1.45%,31.01,22.2,-11.01%,"10:09 ET"
PRU,"Prudential Financial Inc",+9.49,102.81,-0.91,-0.88%,107.31,75.37,+3.14%,"10:09 ET"
PSA,"Public Storage",+2.97,289.61,-5.61,-1.90%,316.48,233.18,-0.50%,"10:08 ET"
PSX,"Phillips 66",+32.14,129.35,-0.060000000000002,-0.05%,138.06,89.74,+28.38%,"10:09 ET"
PTC,"Ptc Inc",+36.67,169.94,0.84,+0.50%,176.25,115.44,+33.88%,"10:09 ET"
PWR,"Quanta Services",+32.79,201.53,-2.11,-1.04%,219.17,141.2,+43.96%,"10:06 ET"
PXD,"Pioneer Natural Resources Company",-5.13,221.39,0.36999999999998,+0.17%,257.76,177.26,-4.22%,"10:09 ET"
PYPL,"Paypal Holdings",-19.52,60.34,-0.62,-1.02%,88.63,50.25,-22.17%,"10:09 ET"
QCOM,"Qualcomm Inc",+21.61,137.2,-2.11,-1.51%,146.89,101.47,+17.26%,"10:09 ET"
QRVO,"Qorvo Inc",+4.91,102.22,-2.27,-2.17%,114.97,80.62,+4.51%,"10:09 ET"
RCL,"Royal Caribbean Cruises Ltd",+95.91,121.71,-1.89,-1.53%,130.97,59.37,+107.91%,"10:09 ET"
REG,"Regency Centers Corp",+0.30,63.87,-0.59,-0.92%,68.56,54.72,-0.34%,"10:07 ET"
REGN,"Regeneron Pharmaceuticals",+27.70,910.36,4.2,+0.46%,924.89,684.8,+27.29%,"10:09 ET"
RF,"Regions Financial Corp",-10.96,18.43,-0.49,-2.59%,24.33,13.72,-15.68%,"10:09 ET"
RHI,"Robert Half Inc",+6.76,80.61,-0.19,-0.24%,89.78,64.65,+6.13%,"10:08 ET"
RJF,"Raymond James Financial",+2.51,109.98,-0.95999999999999,-0.87%,120.73,82,-1.33%,"10:08 ET"
RL,"Ralph Lauren Corp",+27.50,141.48,-2.28,-1.59%,148.04,103.17,+22.95%,"10:09 ET"
RMD,"Resmed Inc",-15.59,176.47,-0.81999999999999,-0.46%,243.52,132.24,-17.36%,"10:09 ET"
ROK,"Rockwell Automation Inc",+5.76,300.55,-1.52,-0.50%,348.52,252.19,+7.27%,"10:09 ET"
ROL,"Rollins Inc",+18.12,43.66,0.37,+0.85%,45.04,32.19,+15.31%,"10:09 ET"
ROP,"Roper Industries",+19.24,532.32,2.0200000000001,+0.38%,551.91,416.77,+17.09%,"10:09 ET"
ROST,"Ross Stores Inc",+21.32,135.41,-0.55000000000001,-0.40%,139.32,99,+13.41%,"10:09 ET"
RSG,"Republic Services",+29.99,163.69,-0.61000000000001,-0.37%,167.17,120.58,+28.85%,"10:09 ET"
RTX,"Rtx Corp",-10.55,85.42,-0.66,-0.77%,108.84,68.56,-13.74%,"10:09 ET"
RVTY,"Revvity Inc",-12.61,111.19,-0.49000000000001,-0.44%,145.35,79.5,-17.49%,"10:09 ET"
SBAC,"SBA Communications",-14.64,238.9,-3.97,-1.63%,312.34,185.23,-21.69%,"10:09 ET"
SBUX,"Starbucks Corp",-13.55,92.45,-1.05,-1.12%,115.48,89.21,-12.42%,"10:09 ET"
SCHW,"The Charles Schwab Corp",-5.31,64.9,-0.91999999999999,-1.40%,84.51,45,-21.55%,"10:09 ET"
SHW,"Sherwin-Williams Company",+27.12,297.7,-0.69999999999999,-0.23%,314.14,205.43,+22.26%,"10:09 ET"
SJM,"J.M. Smucker Company",-15.51,128.5,-1,-0.77%,159.92,107.33,-18.64%,"10:09 ET"
SLB,"Schlumberger N.V.",-16.79,48.46,0.009999999999998,+0.02%,62.78,42.73,-13.61%,"10:09 ET"
SNA,"Snap-On Inc",+14.36,282.07,-0.42000000000002,-0.15%,297.26,226.68,+14.29%,"10:08 ET"
SNPS,"Synopsys Inc",+44.31,498.74,-6.44,-1.27%,573.77,327.56,+49.91%,"10:09 ET"
SO,"Southern Company",+3.54,71.29,-0.53999999999999,-0.75%,75.8,58.85,+0.11%,"10:09 ET"
SPG,"Simon Property Group",+26.60,143.22,-1.46,-1.01%,146.91,100.17,+18.78%,"10:07 ET"
SPGI,"S&P Global Inc",+22.13,432.02,-1.11,-0.26%,443.72,321.14,+18.87%,"10:09 ET"
SRE,Sempra,-1.81,75.3,-0.83,-1.09%,81.82,63.75,-6.45%,"10:09 ET"
STE,"Steris Corp",+12.04,223.04,-0.95000000000002,-0.42%,254,173.21,+11.29%,"10:08 ET"
STLD,"Steel Dynamics Inc",+3.16,111.17,-1.67,-1.48%,136.46,90.55,+1.99%,"10:09 ET"
STT,"State Street Corp",-2.52,75.73,-0.86999999999999,-1.14%,94.74,62.78,-7.47%,"10:09 ET"
STX,"Seagate Technology Hldgs Plc",+44.06,79.99,-2.67,-3.23%,87.93,54.32,+41.35%,"10:09 ET"
STZ,"Constellation Brands Inc",+14.54,255.91,1.14,+0.45%,273.65,210.15,+15.24%,"10:05 ET"
SWK,"Stanley Black & Decker Inc",+15.72,97.35,-0.82000000000001,-0.84%,104.21,73.12,+14.25%,"10:09 ET"
SWKS,"Skyworks Solutions",+0.86,102.78,-1.55,-1.49%,123.69,85.06,+3.39%,"10:09 ET"
SYF,"Synchrony Financial",+19.94,37.39,-0.55,-1.45%,39.34,26.59,+11.20%,"10:09 ET"
SYK,"Stryker Corp",+19.48,307.33,-0.44999999999999,-0.15%,309.08,248.8,+19.06%,"10:09 ET"
SYY,"Sysco Corp",-2.07,75.3,0.27,+0.36%,82.38,62.24,-6.90%,"10:09 ET"
T,"AT&T Inc",-8.64,16.63,-0.24,-1.42%,20.5,13.43,-13.91%,"10:09 ET"
TAP,"Molson Coors Brewing Company",+21.41,63.35,-0.21,-0.33%,70.9,48.49,+24.97%,"10:08 ET"
TDG,"Transdigm Group Inc",+48.40,1004.65,-10.35,-1.02%,1018.5,659.59,+50.63%,"10:07 ET"
TDY,"Teledyne Technologies Inc",+9.40,440.18,-0.64999999999998,-0.15%,448.71,364.98,+7.72%,"10:05 ET"
TECH,"Bio-Techne Cp",-8.36,72.51,-0.64,-0.87%,89.91,51.79,-15.75%,"10:08 ET"
TEL,"Te Connectivity Ltd",+6.34,131.94,-1.23,-0.92%,146.6,115,+7.22%,"10:08 ET"
TER,"Teradyne Inc",+7.69,103.19,-1.69,-1.61%,119.2,81.07,+8.68%,"10:09 ET"
TFC,"Truist Financial Corp",-7.18,36.51,-1.22,-3.23%,53.34,25.56,-20.23%,"10:09 ET"
TFX,"Teleflex Inc",+7.48,247.05,-1.45,-0.58%,276.43,177.63,+3.81%,"10:08 ET"
TGT,"Target Corp",-6.25,141.88,-2.21,-1.53%,181.7,102.93,-10.03%,"10:09 ET"
TJX,"TJX Companies",+18.61,94.11,-0.030000000000001,-0.03%,94.46,72.92,+14.50%,"10:09 ET"
TMO,"Thermo Fisher Scientific Inc",-1.88,546.89,2.96,+0.54%,609.85,415.6,-6.28%,"10:09 ET"
TMUS,"T-Mobile US",+15.45,162.34,-0.94999999999999,-0.58%,164.5,124.92,+9.23%,"10:09 ET"
TPR,"Tapestry Inc",-8.53,37.03,-0.46,-1.23%,47.48,25.99,-11.82%,"10:09 ET"
TRGP,"Targa Resources",+10.45,83.3,-0.51000000000001,-0.61%,91.43,64.85,+11.80%,"10:09 ET"
TRMB,"Trimble Navigation",-3.78,50.89,-0.060000000000002,-0.12%,62.01,39.57,-4.24%,"10:09 ET"
TROW,"T Rowe Price Group",-2.25,109.9,2.51,+2.34%,132.76,87.43,-7.51%,"10:09 ET"
TRV,"The Travelers Companies Inc",+6.67,192.74,-0.34999999999999,-0.18%,194.51,157.33,+0.30%,"10:09 ET"
TSCO,"Tractor Supply Company",+1.06,220.59,0.56,+0.25%,251.17,185,-0.46%,"10:09 ET"
TSLA,"Tesla Inc",+46.38,226.66,-7.28,-3.11%,299.29,115.6,+85.93%,"10:09 ET"
TSN,"Tyson Foods",-10.50,54.18,-0.32,-0.59%,74.07,44.94,-17.70%,"10:09 ET"
TT,"Trane Technologies Plc",+40.24,243.35,-2.53,-1.03%,247.12,162.04,+35.35%,"10:08 ET"
TTWO,"Take-Two Interactive",+47.27,159.13,-0.080000000000013,-0.05%,164.85,101.53,+51.09%,"10:09 ET"
TXN,"Texas Instruments",-4.14,165.97,-1.28,-0.77%,188.12,139.48,-6.33%,"10:09 ET"
TXT,"Textron Inc",+12.24,77.43,-0.75999999999999,-0.97%,81.59,61.27,+9.96%,"10:09 ET"
TYL,"Tyler Technologies",+29.59,420.01,1.61,+0.38%,426.83,301.69,+32.11%,"10:08 ET"
UAL,"United Airlines Holdings Inc",-12.15,43.58,-0.68,-1.54%,58.23,33.68,-7.69%,"10:09 ET"
UBER,"Uber Technologies Inc",+115.32,62.71,0.3,+0.48%,63.53,28.2,+122.08%,"10:09 ET"
UDR,"United Dominion Realty Trust",-4.53,38.11,-0.11,-0.29%,45.46,30.95,-5.35%,"10:08 ET"
UHS,"Universal Health Services",+14.38,156.26,-0.60000000000002,-0.38%,158.57,113.69,+8.20%,"10:09 ET"
ULTA,"Ulta Beauty Inc",+1.92,478.28,-2.6300000000001,-0.55%,556.6,368.02,-2.82%,"10:09 ET"
UNH,"Unitedhealth Group Inc",+11.33,537.4,-0.24000000000001,-0.04%,554.7,445.68,+8.67%,"10:09 ET"
UNP,"Union Pacific Corp",+16.42,236.71,-2.29,-0.96%,246.99,183.69,+10.83%,"10:08 ET"
UPS,"United Parcel Service",-11.09,159.99,-1.23,-0.76%,197.8,133.68,-11.78%,"10:09 ET"
URI,"United Rentals",+46.37,538.91,-10.77,-1.96%,585.5,325.15,+42.44%,"10:09 ET"
USB,"U.S. Bancorp",+2.90,42.15,-1.25,-2.88%,49.95,27.27,-9.61%,"10:09 ET"
V,"Visa Inc",+20.79,263.3,-1.26,-0.48%,266.05,208.76,+18.90%,"10:09 ET"
VFC,"V.F. Corp",-40.87,16.63,-0.67,-3.87%,32.13,12.85,-43.97%,"10:09 ET"
VICI,"Vici Properties Inc",-3.95,31.09,-0.42,-1.33%,35.07,26.63,-7.04%,"10:09 ET"
VLO,"Valero Energy Corp",-4.88,125.96,1.19,+0.95%,152.2,104.18,-5.26%,"10:09 ET"
VLTO,"Veralto Corporation",N/A,75.36,-1.07,-1.40%,89,65.51,N/A,"10:09 ET"
VMC,"Vulcan Materials Company",+24.16,224.9,-1.21,-0.54%,229.75,159.76,+23.69%,"10:09 ET"
VRSK,"Verisk Analytics Inc",+23.26,234.88,0.91999999999999,+0.39%,249.26,169.74,+25.70%,"10:09 ET"
VRSN,"Verisign Inc",-5.57,202.7,-0.72,-0.35%,229.72,188.44,-3.87%,"10:08 ET"
VRTX,"Vertex Pharmaceutic",+45.51,425.28,1.52,+0.36%,425.44,283.6,+45.45%,"10:09 ET"
VTR,"Ventas Inc",+4.42,48.38,-0.27,-0.55%,53.15,39.33,-0.65%,"10:09 ET"
VTRS,"Viatris Inc",+17.08,12.01,-0.09,-0.74%,12.49,8.74,+2.80%,"10:09 ET"
VZ,"Verizon Communications Inc",-0.05,38.58,-0.5,-1.28%,42,30.14,-5.70%,"10:09 ET"
WAB,"Wabtec Corp",+29.66,127.57,1.33,+1.05%,128.25,91.89,+25.75%,"10:08 ET"
WAT,"Waters Corp",-2.89,305.77,-1.83,-0.59%,346.98,231.9,-10.96%,"10:08 ET"
WBA,"Walgreens Boots Alliance",-30.21,24.22,-0.46,-1.86%,37.96,19.68,-33.88%,"10:09 ET"
WBD,"Discovery Inc Series A",-24.63,10.56,-0.41,-3.74%,16.34,9.27,-15.60%,"10:09 ET"
WDC,"Western Digital Cp",+41.29,50.15,-0.36,-0.71%,53.21,31.97,+31.94%,"10:09 ET"
WEC,"Wisconsin Energy Corp",-10.88,83.68,-1.91,-2.23%,99.26,75.47,-14.29%,"10:09 ET"
WELL,"Welltower Inc",+27.76,90.33,-0.40000000000001,-0.44%,93.42,65.18,+26.16%,"10:09 ET"
WFC,"Wells Fargo & Company",+16.95,48.42,-0.66,-1.34%,50.77,35.25,+13.94%,"10:09 ET"
WHR,"Whirlpool Corp",-20.90,118.41,-2.23,-1.85%,160.74,98.4,-22.58%,"10:08 ET"
WM,"Waste Management",+17.64,178.57,-0.61000000000001,-0.34%,181.48,148.31,+13.78%,"10:09 ET"
WMB,"Williams Companies",+8.03,34.88,-0.34999999999999,-0.99%,37.45,27.8,+7.28%,"10:09 ET"
WMT,"Walmart Inc",+11.09,161.05,-0.23999999999998,-0.15%,169.94,136.09,+10.57%,"10:09 ET"
WRB,"W.R. Berkley Corp",+7.04,72.18,0.18000000000001,+0.25%,75.53,55.5,-1.23%,"10:09 ET"
WRK,"Westrock Company",+23.67,41.3,-0.56,-1.34%,43.58,26.84,+12.55%,"10:09 ET"
WST,"West Pharmaceutical Services",+28.58,355.25,-1.91,-0.53%,415.73,241.99,+42.01%,"10:09 ET"
WTW,"Willis Towers Watson Public Ltd",+3.09,246.46,1.02,+0.42%,258.93,195.29,-4.19%,"10:09 ET"
WY,"Weyerhaeuser Company",+8.89,33.55,-0.28,-0.83%,36,27.65,+5.54%,"10:09 ET"
WYNN,"Wynn Resorts Ltd",-9.31,91.89,-1.74,-1.86%,117.86,81.65,-3.74%,"10:09 ET"
XEL,"XCEL Energy Inc",-9.85,61.63,-1.09,-1.74%,72.92,53.73,-14.94%,"10:09 ET"
XOM,"Exxon Mobil Corp",-14.24,98.66,-0.030000000000001,-0.03%,120.7,97.48,-11.29%,"10:09 ET"
XRAY,"Dentsply Sirona Inc",+2.85,36.63,-0.76,-2.03%,43.24,26.27,+5.47%,"10:09 ET"
XYL,"Xylem Inc",+2.66,111.56,-0.67999999999999,-0.61%,118.58,87.59,-2.69%,"10:09 ET"
YUM,"Yum! Brands",-2.06,127.79,-1.41,-1.09%,143.24,115.53,-1.28%,"10:09 ET"
ZBH,"Zimmer Biomet Holdings",+0.76,123.91,0.67999999999999,+0.55%,149.25,102,-0.14%,"10:09 ET"
ZBRA,"Zebra Technologies",-12.14,250.46,-4.81,-1.88%,351.74,194.59,-15.29%,"10:08 ET"
ZION,"Zions Bancorp",+7.93,42.46,-1.47,-3.35%,55.19,18.26,-16.35%,"10:09 ET"
ZTS,"Zoetis Inc Cl A",+24.66,196.82,-1.95,-0.98%,201.92,151.03,+25.02%,"10:09 ET"
"Downloaded from Barchart.com as of 01-11-2024 09:09am CST"
