"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2023","583.20","580.36","584.79","579.29","263.81M","0.33%"
"11/17/2023","581.31","580.02","581.38","579.07","262.24M","0.55%"
"11/16/2023","578.13","577.06","578.79","575.87","276.92M","0.32%"
"11/15/2023","576.27","573.66","577.57","573.66","335.60M","0.57%"
"11/14/2023","573.00","567.07","575.76","567.07","382.91M","1.94%"
"11/13/2023","562.07","561.43","563.61","560.41","220.54M","-0.16%"
"11/10/2023","562.95","559.09","563.36","556.15","234.14M","1.14%"
"11/09/2023","556.59","560.30","561.41","555.75","260.64M","-0.41%"
"11/08/2023","558.88","558.31","559.63","555.81","249.27M","0.06%"
"11/07/2023","558.52","558.45","560.03","556.92","236.78M","-0.13%"
"11/06/2023","559.22","562.73","563.36","556.53","278.60M","-0.39%"
"11/03/2023","561.39","556.82","563.85","556.82","375.06M","1.32%"
"11/02/2023","554.06","544.60","554.27","544.60","411.40M","2.40%"
"11/01/2023","541.07","539.05","543.34","537.56","329.98M","0.63%"
"10/31/2023","537.67","532.82","537.90","532.00","322.02M","1.09%"
"10/30/2023","531.85","526.22","533.14","525.02","301.83M","1.71%"
"10/27/2023","522.93","531.84","531.84","521.26","347.74M","-1.86%"
"10/26/2023","532.86","534.02","537.57","531.30","370.17M","-0.22%"
"10/25/2023","534.02","535.62","537.32","532.30","347.84M","-0.30%"
"10/24/2023","535.62","532.04","538.08","532.04","340.62M","0.67%"
"10/23/2023","532.04","535.85","537.96","531.68","361.29M","-0.71%"
"10/20/2023","535.85","544.27","544.38","534.98","442.73M","-1.55%"
"10/19/2023","544.27","551.15","552.80","543.48","390.48M","-1.25%"
"10/18/2023","551.15","560.69","560.69","550.05","397.71M","-1.70%"
"10/17/2023","560.69","557.61","564.17","555.48","410.10M","0.55%"
"10/16/2023","557.61","552.00","560.63","552.00","320.35M","1.02%"
"10/13/2023","552.00","550.92","559.52","549.40","355.39M","0.20%"
"10/12/2023","550.92","554.41","555.64","547.39","281.03M","-0.63%"
"10/11/2023","554.41","553.79","557.58","550.63","254.13M","0.11%"
"10/10/2023","553.79","549.55","557.28","549.55","303.48M","0.77%"
"10/09/2023","549.55","549.36","550.85","544.12","246.58M","0.03%"
"10/06/2023","549.36","544.91","552.45","540.74","323.32M","0.82%"
"10/05/2023","544.91","542.83","545.75","539.74","287.75M","0.38%"
"10/04/2023","542.83","538.38","543.11","536.17","303.83M","0.83%"
"10/03/2023","538.38","547.53","547.53","536.71","322.41M","-1.67%"
"10/02/2023","547.53","552.16","552.16","544.50","294.76M","-0.84%"
"09/29/2023","552.16","557.08","560.01","550.82","282.68M","-0.88%"
"09/28/2023","557.08","553.24","559.30","553.24","248.94M","0.69%"
"09/27/2023","553.24","554.36","555.48","548.82","280.47M","-0.20%"
"09/26/2023","554.36","561.90","561.90","553.40","281.65M","-1.34%"
"09/25/2023","561.90","561.05","562.05","557.50","215.69M","0.15%"
"09/22/2023","561.05","565.24","566.01","560.75","255.94M","-0.74%"
"09/21/2023","565.24","574.53","574.53","565.18","281.62M","-1.62%"
"09/20/2023","574.53","578.36","582.04","574.21","236.69M","-0.66%"
"09/19/2023","578.36","579.00","580.47","574.66","250.69M","-0.11%"
"09/18/2023","579.00","577.18","579.62","574.90","234.44M","0.32%"
"09/15/2023","577.18","580.37","580.85","576.35","617.01M","-0.55%"
"09/14/2023","580.37","575.36","581.16","575.36","315.21M","0.87%"
"09/13/2023","575.36","575.93","578.39","573.13","317.10M","-0.10%"
"09/12/2023","575.94","571.10","579.23","570.63","307.63M","0.85%"
"09/11/2023","571.10","569.00","574.23","569.00","241.80M","0.37%"
"09/08/2023","569.00","567.66","569.81","565.96","257.91M","0.24%"
"09/07/2023","567.66","568.81","569.81","566.01","275.51M","-0.20%"
"09/06/2023","568.79","569.76","570.43","565.21","263.11M","-0.17%"
"09/05/2023","569.76","575.27","577.06","569.66","264.68M","-0.96%"
"09/01/2023","575.27","570.68","577.18","570.68","234.02M","0.80%"
"08/31/2023","570.68","572.97","574.11","569.77","287.63M","-0.40%"
"08/30/2023","572.97","572.28","576.07","571.84","234.29M","0.12%"
"08/29/2023","572.28","567.31","572.66","566.32","218.30M","0.88%"
"08/28/2023","567.31","563.99","569.34","563.99","195.29M","0.59%"
"08/25/2023","563.99","562.06","566.20","559.79","226.54M","0.34%"
"08/24/2023","562.06","563.42","569.55","561.97","221.72M","-0.24%"
"08/23/2023","563.42","558.22","563.71","558.22","242.66M","0.93%"
"08/22/2023","558.22","563.17","564.27","557.51","274.87M","-0.88%"
"08/21/2023","563.17","563.68","565.88","559.15","233.98M","-0.09%"
"08/18/2023","563.68","564.39","565.81","560.22","243.70M","-0.13%"
"08/17/2023","564.39","567.22","569.83","562.93","272.76M","-0.50%"
"08/16/2023","567.22","568.42","571.46","566.75","268.23M","-0.21%"
"08/15/2023","568.42","578.82","578.82","567.55","300.67M","-1.80%"
"08/14/2023","578.82","579.89","579.89","576.17","239.64M","-0.18%"
"08/11/2023","579.89","578.70","580.81","575.54","201.16M","0.21%"
"08/10/2023","578.70","578.26","585.46","577.41","229.95M","0.08%"
"08/09/2023","578.26","582.80","584.14","577.99","232.40M","-0.78%"
"08/08/2023","582.79","587.93","587.93","576.04","295.25M","-0.87%"
"08/07/2023","587.93","580.02","589.15","580.02","230.69M","1.36%"
"08/04/2023","580.02","582.52","587.50","579.55","263.74M","-0.43%"
"08/03/2023","582.52","582.12","583.76","577.18","299.00M","0.07%"
"08/02/2023","582.12","587.32","587.32","579.12","292.60M","-0.89%"
"08/01/2023","587.32","587.50","587.88","584.35","262.96M","-0.03%"
"07/31/2023","587.50","584.90","589.17","584.90","301.53M","0.44%"
"07/28/2023","584.90","584.11","588.89","582.17","274.05M","0.14%"
"07/27/2023","584.11","591.76","592.98","583.45","339.38M","-1.29%"
"07/26/2023","591.76","587.92","593.47","586.87","304.48M","0.65%"
"07/25/2023","587.92","592.27","592.27","587.85","309.95M","-0.73%"
"07/24/2023","592.27","586.31","593.95","586.31","324.97M","1.01%"
"07/21/2023","586.32","588.34","589.60","585.16","401.29M","-0.34%"
"07/20/2023","588.34","584.28","588.44","582.93","405.16M","0.69%"
"07/19/2023","584.28","581.69","586.42","581.61","431.86M","0.45%"
"07/18/2023","581.68","575.21","582.11","575.21","451.29M","1.12%"
"07/17/2023","575.21","569.49","576.68","569.11","312.74M","1.00%"
"07/14/2023","569.49","573.39","577.08","568.97","390.14M","-0.68%"
"07/13/2023","573.39","571.29","574.32","571.29","311.82M","0.37%"
"07/12/2023","571.29","567.70","575.45","567.70","320.03M","0.63%"
"07/11/2023","567.70","561.00","568.53","561.00","293.72M","1.19%"
"07/10/2023","561.00","558.53","564.30","558.37","276.11M","0.44%"
"07/07/2023","558.53","557.64","563.22","555.80","284.64M","0.16%"
"07/06/2023","557.65","562.76","562.76","553.11","327.73M","-0.91%"
"07/05/2023","562.76","564.63","564.63","559.09","273.99M","-0.33%"
"07/03/2023","564.63","561.11","565.87","560.35","182.20M","0.63%"
"06/30/2023","561.11","556.09","563.32","556.09","328.91M","0.90%"
"06/29/2023","556.09","546.94","556.18","546.94","344.04M","1.67%"
"06/28/2023","546.94","547.93","547.93","544.61","266.37M","-0.18%"
"06/27/2023","547.93","544.08","549.37","544.08","260.10M","0.71%"
"06/26/2023","544.08","545.15","548.16","542.56","278.05M","-0.20%"
"06/23/2023","545.15","547.44","547.44","541.50","399.80M","-0.42%"
"06/22/2023","547.44","551.54","551.54","545.73","284.01M","-0.74%"
"06/21/2023","551.54","552.58","554.41","549.54","281.78M","-0.19%"
"06/20/2023","552.58","556.06","556.06","549.13","335.42M","-0.69%"
"06/16/2023","556.40","557.64","560.69","556.05","558.97M","-0.22%"
"06/15/2023","557.62","550.70","558.94","548.27","329.54M","1.26%"
"06/14/2023","550.70","552.71","556.78","548.90","369.74M","-0.37%"
"06/13/2023","552.72","549.34","554.99","548.54","359.12M","0.62%"
"06/12/2023","549.34","549.85","551.59","545.40","378.61M","-0.09%"
"06/09/2023","549.85","549.44","551.95","548.35","260.01M","0.07%"
"06/08/2023","549.44","550.06","550.26","545.32","286.96M","-0.11%"
"06/07/2023","550.06","548.25","551.22","545.18","344.54M","0.33%"
"06/06/2023","548.25","541.05","548.82","540.64","342.15M","1.33%"
"06/05/2023","541.05","544.11","544.56","538.86","277.34M","-0.56%"
"06/02/2023","544.11","532.48","545.93","532.48","371.64M","2.18%"
"06/01/2023","532.48","526.72","533.49","526.28","342.85M","1.09%"
"05/31/2023","526.72","532.81","532.81","522.62","587.75M","-1.14%"
"05/30/2023","532.81","532.82","534.95","529.35","308.16M","0.00%"
"05/26/2023","532.82","528.91","534.29","528.91","296.11M","0.74%"
"05/25/2023","528.91","528.74","530.36","525.63","335.64M","0.03%"
"05/24/2023","528.74","535.76","535.76","527.80","302.06M","-1.31%"
"05/23/2023","535.76","542.38","542.66","535.68","356.47M","-1.22%"
"05/22/2023","542.38","541.16","544.09","539.03","298.80M","0.23%"
"05/19/2023","541.16","543.60","546.53","538.97","362.66M","-0.45%"
"05/18/2023","543.60","539.82","544.12","536.73","360.31M","0.70%"
"05/17/2023","539.82","528.76","541.04","528.76","407.85M","2.09%"
"05/16/2023","528.76","533.93","534.34","528.69","298.21M","-0.97%"
"05/15/2023","533.93","529.60","534.89","529.60","317.60M","0.82%"
"05/12/2023","529.60","531.80","534.49","526.26","341.10M","-0.41%"
"05/11/2023","531.79","532.87","532.87","527.39","337.40M","-0.20%"
"05/10/2023","532.87","535.98","540.23","528.27","355.61M","-0.58%"
"05/09/2023","535.97","537.96","537.96","533.00","332.22M","-0.37%"
"05/08/2023","537.96","536.84","541.88","536.84","325.52M","0.21%"
"05/05/2023","536.83","524.05","537.91","524.05","436.26M","2.44%"
"05/04/2023","524.05","530.92","530.92","519.57","673.95M","-1.29%"
"05/03/2023","530.92","537.30","540.53","530.71","638.67M","-1.19%"
"05/02/2023","537.30","549.94","549.94","532.43","512.66M","-2.30%"
"05/01/2023","549.94","551.42","555.67","549.34","375.67M","-0.27%"
"04/28/2023","551.42","544.95","551.70","541.22","526.38M","1.19%"
"04/27/2023","544.95","536.37","546.00","536.37","406.54M","1.60%"
"04/26/2023","536.37","541.55","543.14","534.26","549.69M","-0.96%"
"04/25/2023","541.55","551.26","551.26","541.41","572.75M","-1.76%"
"04/24/2023","551.26","552.37","553.73","549.76","369.35M","-0.20%"
"04/21/2023","552.37","554.56","554.56","549.42","409.82M","-0.39%"
"04/20/2023","554.56","556.33","556.33","552.64","398.97M","-0.32%"
"04/19/2023","556.33","554.91","557.58","553.13","473.44M","0.26%"
"04/18/2023","554.91","553.18","555.85","550.19","492.62M","0.31%"
"04/17/2023","553.18","547.01","553.25","544.03","528.02M","1.13%"
"04/14/2023","547.01","541.30","551.16","541.30","494.59M","1.05%"
"04/13/2023","541.30","536.69","541.71","533.60","353.68M","0.86%"
"04/12/2023","536.69","537.78","543.29","535.42","325.15M","-0.20%"
"04/11/2023","537.78","533.25","539.99","533.25","332.28M","0.85%"
"04/10/2023","533.25","531.81","533.32","529.03","323.76M","0.27%"
"04/06/2023","531.81","530.18","532.84","528.49","335.18M","0.31%"
"04/05/2023","530.18","530.93","531.32","526.84","385.37M","-0.14%"
"04/04/2023","530.93","536.36","538.00","527.61","405.75M","-1.01%"
"04/03/2023","536.36","535.28","538.28","533.13","388.52M","0.20%"
"03/31/2023","535.28","529.19","535.37","529.19","436.52M","1.15%"
"03/30/2023","529.19","530.74","534.54","526.37","421.40M","-0.29%"
"03/29/2023","530.74","522.90","530.81","522.90","423.15M","1.50%"
"03/28/2023","522.90","523.20","524.83","519.91","384.53M","-0.06%"
"03/27/2023","523.20","515.97","525.88","515.97","611.62M","1.40%"
"03/24/2023","515.97","516.28","516.34","506.10","586.88M","-0.06%"
"03/23/2023","516.28","519.70","526.07","512.87","663.37M","-0.66%"
"03/22/2023","519.70","532.33","533.55","519.64","609.52M","-2.37%"
"03/21/2023","532.33","519.15","533.37","519.15","787.31M","2.54%"
"03/20/2023","519.15","513.28","523.26","513.28","793.18M","1.19%"
