"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","1,527.56","1,509.35","1,535.06","1,509.10","218.68M","1.54%"
"03/01/2022","1,504.38","1,512.63","1,517.47","1,493.08","256.68M","-0.58%"
"02/28/2022","1,513.20","1,519.87","1,519.87","1,495.49","291.38M","-0.75%"
"02/25/2022","1,524.66","1,482.33","1,527.76","1,482.33","217.41M","3.03%"
"02/24/2022","1,479.85","1,470.26","1,481.81","1,447.04","271.71M","0.46%"
"02/23/2022","1,473.10","1,481.35","1,493.15","1,471.71","200.53M","-0.51%"
"02/22/2022","1,480.66","1,481.00","1,492.30","1,471.18","208.14M","-0.25%"
"02/18/2022","1,484.43","1,494.82","1,501.99","1,479.51","197.23M","-0.82%"
"02/17/2022","1,496.67","1,515.55","1,515.55","1,494.39","176.37M","-1.60%"
"02/16/2022","1,520.93","1,515.05","1,524.96","1,506.56","207.01M","0.13%"
"02/15/2022","1,518.93","1,508.70","1,524.18","1,508.70","203.70M","1.14%"
"02/14/2022","1,501.79","1,515.82","1,516.31","1,490.48","219.75M","-1.09%"
"02/11/2022","1,518.33","1,536.60","1,548.26","1,516.12","203.98M","-1.34%"
"02/10/2022","1,538.92","1,560.23","1,560.23","1,533.47","218.40M","-1.57%"
"02/09/2022","1,563.53","1,551.68","1,566.82","1,551.68","213.25M","0.82%"
"02/08/2022","1,550.88","1,539.02","1,554.09","1,527.29","249.47M","0.79%"
"02/07/2022","1,538.72","1,541.74","1,547.44","1,534.71","204.05M","-0.13%"
"02/04/2022","1,540.71","1,544.16","1,552.27","1,530.67","177.81M","-0.41%"
"02/03/2022","1,546.99","1,553.01","1,553.01","1,544.65","219.23M","-0.45%"
"02/02/2022","1,554.03","1,532.83","1,557.49","1,529.14","247.92M","1.25%"
"02/01/2022","1,534.81","1,530.88","1,536.22","1,521.33","204.63M","0.28%"
"01/31/2022","1,530.46","1,520.14","1,531.89","1,515.64","247.64M","0.67%"
"01/28/2022","1,520.30","1,488.82","1,520.34","1,478.44","214.83M","2.08%"
"01/27/2022","1,489.36","1,492.86","1,512.68","1,485.34","248.11M","0.14%"
"01/26/2022","1,487.29","1,493.98","1,510.13","1,475.49","255.34M","-0.44%"
"01/25/2022","1,493.93","1,491.07","1,507.08","1,472.26","244.09M","-0.66%"
"01/24/2022","1,503.89","1,506.65","1,506.65","1,456.58","315.59M","-0.37%"
"01/21/2022","1,509.42","1,525.88","1,533.60","1,506.99","249.94M","-1.06%"
"01/20/2022","1,525.63","1,536.07","1,552.42","1,523.95","202.57M","-0.58%"
"01/19/2022","1,534.57","1,543.07","1,556.05","1,533.68","183.98M","-0.44%"
"01/18/2022","1,541.38","1,561.18","1,561.18","1,537.44","222.23M","-1.39%"
"01/14/2022","1,563.07","1,564.40","1,564.67","1,547.12","193.07M","-0.17%"
"01/13/2022","1,565.71","1,590.26","1,590.62","1,563.06","182.40M","-1.63%"
"01/12/2022","1,591.68","1,593.92","1,594.00","1,584.84","202.39M","-0.26%"
"01/11/2022","1,595.84","1,583.36","1,596.23","1,575.37","206.70M","0.76%"
"01/10/2022","1,583.79","1,565.77","1,584.22","1,557.19","258.59M","1.04%"
"01/07/2022","1,567.50","1,573.76","1,574.63","1,564.43","199.88M","-0.45%"
"01/06/2022","1,574.66","1,592.85","1,593.57","1,573.01","204.50M","-1.21%"
"01/05/2022","1,593.93","1,604.89","1,618.30","1,593.75","230.50M","-0.71%"
"01/04/2022","1,605.31","1,625.53","1,625.53","1,598.86","242.72M","-1.38%"
"01/03/2022","1,627.82","1,641.69","1,641.69","1,613.70","206.18M","-0.98%"
"12/31/2021","1,643.92","1,649.98","1,655.44","1,643.85","126.05M","-0.39%"
"12/30/2021","1,650.43","1,650.36","1,656.89","1,649.35","121.43M","0.16%"
"12/29/2021","1,647.76","1,638.48","1,651.11","1,636.35","129.02M","0.60%"
"12/28/2021","1,637.97","1,642.72","1,647.22","1,634.49","131.30M","-0.28%"
"12/27/2021","1,642.59","1,625.88","1,642.79","1,625.88","135.98M","1.05%"
"12/23/2021","1,625.57","1,619.65","1,630.84","1,618.63","158.37M","0.41%"
"12/22/2021","1,618.99","1,601.80","1,620.04","1,597.16","214.22M","1.17%"
"12/21/2021","1,600.27","1,594.54","1,601.11","1,583.91","245.78M","0.42%"
"12/20/2021","1,593.56","1,605.29","1,605.29","1,580.43","276.22M","-0.64%"
"12/17/2021","1,603.75","1,615.40","1,616.77","1,597.84","475.47M","-0.67%"
"12/16/2021","1,614.64","1,605.51","1,623.15","1,603.46","289.52M","0.58%"
"12/15/2021","1,605.36","1,571.51","1,606.22","1,571.51","289.14M","2.11%"
"12/14/2021","1,572.25","1,572.19","1,581.04","1,565.27","238.62M","-0.48%"
"12/13/2021","1,579.84","1,564.71","1,584.66","1,564.71","226.39M","0.92%"
"12/10/2021","1,565.37","1,554.69","1,568.48","1,554.69","184.50M","0.37%"
"12/09/2021","1,559.61","1,555.60","1,565.07","1,553.92","193.01M","0.24%"
"12/08/2021","1,555.80","1,550.35","1,557.49","1,541.85","181.94M","0.74%"
"12/07/2021","1,544.33","1,527.78","1,548.54","1,527.78","215.10M","1.25%"
"12/06/2021","1,525.25","1,515.79","1,531.57","1,515.79","249.70M","0.52%"
"12/03/2021","1,517.43","1,516.06","1,529.48","1,504.53","219.49M","0.25%"
"12/02/2021","1,513.59","1,505.49","1,520.16","1,500.28","241.52M","0.40%"
"12/01/2021","1,507.59","1,509.15","1,537.18","1,507.44","273.13M","-0.19%"
"11/30/2021","1,510.45","1,537.15","1,538.24","1,507.63","387.62M","-1.93%"
"11/29/2021","1,540.15","1,537.44","1,550.30","1,537.44","304.61M","0.38%"
"11/26/2021","1,534.35","1,545.69","1,555.60","1,530.89","236.64M","-0.45%"
"11/24/2021","1,541.25","1,541.44","1,543.88","1,534.16","160.49M","-0.04%"
"11/23/2021","1,541.86","1,537.06","1,543.52","1,529.54","186.65M","0.09%"
"11/22/2021","1,540.50","1,547.15","1,554.83","1,539.16","188.50M","-0.47%"
"11/19/2021","1,547.73","1,560.38","1,567.69","1,547.26","226.97M","-0.65%"
"11/18/2021","1,557.78","1,558.22","1,562.01","1,552.62","179.82M","0.06%"
"11/17/2021","1,556.87","1,554.78","1,563.25","1,550.76","180.13M","0.16%"
"11/16/2021","1,554.34","1,547.82","1,563.38","1,545.53","167.36M","0.38%"
"11/15/2021","1,548.39","1,558.72","1,560.67","1,547.11","156.71M","-0.64%"
"11/12/2021","1,558.37","1,552.92","1,562.66","1,550.20","174.52M","0.43%"
"11/11/2021","1,551.77","1,555.64","1,556.25","1,547.50","160.37M","-0.23%"
"11/10/2021","1,555.36","1,550.28","1,561.55","1,550.28","179.26M","0.26%"
"11/09/2021","1,551.27","1,557.80","1,558.79","1,548.11","165.69M","-0.37%"
"11/08/2021","1,557.10","1,548.84","1,558.64","1,545.15","217.19M","0.53%"
"11/05/2021","1,548.87","1,563.85","1,563.85","1,536.70","429.52M","-1.03%"
"11/04/2021","1,564.98","1,571.54","1,573.15","1,554.44","223.64M","-0.76%"
"11/03/2021","1,576.90","1,565.88","1,577.07","1,558.87","220.40M","0.63%"
"11/02/2021","1,566.99","1,561.01","1,575.03","1,551.16","248.26M","0.63%"
"11/01/2021","1,557.20","1,559.58","1,567.38","1,551.76","183.34M","-0.14%"
"10/29/2021","1,559.32","1,542.82","1,560.92","1,536.81","225.20M","0.95%"
"10/28/2021","1,544.66","1,530.62","1,549.86","1,530.62","182.97M","0.86%"
"10/27/2021","1,531.46","1,544.80","1,547.80","1,531.40","167.76M","-0.81%"
"10/26/2021","1,544.00","1,538.66","1,548.20","1,531.16","160.17M","0.53%"
"10/25/2021","1,535.83","1,534.76","1,537.78","1,523.37","157.27M","0.09%"
"10/22/2021","1,534.41","1,528.02","1,534.90","1,524.59","121.33M","0.37%"
"10/21/2021","1,528.68","1,522.48","1,528.97","1,514.29","138.75M","0.44%"
"10/20/2021","1,521.99","1,503.26","1,524.49","1,503.26","161.10M","1.45%"
"10/19/2021","1,500.23","1,484.57","1,504.32","1,484.57","150.61M","1.31%"
"10/18/2021","1,480.83","1,490.66","1,490.66","1,475.06","166.48M","-0.72%"
"10/15/2021","1,491.56","1,486.08","1,497.95","1,486.08","175.03M","0.50%"
"10/14/2021","1,484.19","1,465.96","1,489.69","1,465.96","165.20M","1.43%"
"10/13/2021","1,463.28","1,463.00","1,469.79","1,455.46","158.51M","0.09%"
"10/12/2021","1,462.02","1,470.69","1,474.92","1,458.13","145.88M","-0.47%"
"10/11/2021","1,468.99","1,478.43","1,486.65","1,468.36","119.25M","-0.75%"
"10/08/2021","1,480.10","1,488.55","1,492.04","1,477.78","146.56M","-0.47%"
"10/07/2021","1,487.16","1,470.03","1,497.43","1,470.03","160.53M","1.23%"
"10/06/2021","1,469.07","1,468.53","1,469.43","1,452.11","182.40M","-0.16%"
"10/05/2021","1,471.37","1,465.40","1,485.88","1,465.40","185.91M","0.58%"
"10/04/2021","1,462.89","1,481.91","1,486.43","1,455.31","249.52M","-1.49%"
"10/01/2021","1,485.00","1,481.17","1,491.72","1,461.47","313.56M","0.07%"
"09/30/2021","1,483.99","1,506.16","1,517.05","1,483.74","182.87M","-1.28%"
"09/29/2021","1,503.25","1,493.60","1,510.13","1,493.60","148.70M","0.77%"
"09/28/2021","1,491.77","1,514.41","1,514.41","1,486.90","190.07M","-1.70%"
"09/27/2021","1,517.58","1,537.23","1,537.23","1,514.80","152.31M","-1.43%"
"09/24/2021","1,539.56","1,545.15","1,548.89","1,536.54","129.80M","-0.42%"
"09/23/2021","1,546.09","1,534.79","1,554.98","1,534.79","149.70M","0.77%"
"09/22/2021","1,534.22","1,534.12","1,542.83","1,528.13","154.03M","0.09%"
"09/21/2021","1,532.87","1,533.69","1,547.91","1,532.85","150.11M","0.15%"
"09/20/2021","1,530.65","1,542.73","1,543.39","1,517.21","211.23M","-0.98%"
"09/17/2021","1,545.73","1,544.34","1,547.46","1,536.94","408.71M","0.07%"
"09/16/2021","1,544.60","1,549.11","1,553.64","1,534.62","155.47M","-0.25%"
"09/15/2021","1,548.43","1,536.98","1,555.78","1,534.78","184.77M","0.68%"
"09/14/2021","1,537.91","1,541.66","1,549.57","1,536.06","165.15M","-0.12%"
