"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2022","304.24","304.85","306.37","302.78","39.48M","-0.28%"
"04/14/2022","305.08","307.74","308.79","305.00","46.17M","-0.58%"
"04/13/2022","306.87","306.13","307.14","304.34","45.70M","0.41%"
"04/12/2022","305.61","305.75","308.19","304.37","47.74M","-0.35%"
"04/11/2022","306.67","310.96","311.59","305.97","47.58M","-1.35%"
"04/08/2022","310.87","310.03","311.95","308.53","43.72M","0.33%"
"04/07/2022","309.84","310.20","311.16","307.81","57.52M","-0.86%"
"04/06/2022","312.53","306.66","312.81","305.26","51.94M","1.55%"
"04/05/2022","307.76","307.03","311.86","306.99","46.96M","0.06%"
"04/04/2022","307.57","308.93","309.39","304.97","45.26M","-0.31%"
"04/01/2022","308.54","303.31","308.69","302.48","49.54M","2.02%"
"03/31/2022","302.42","306.81","308.15","302.42","74.79M","-1.18%"
"03/30/2022","306.02","306.06","306.78","304.34","50.62M","-0.57%"
"03/29/2022","307.76","302.49","308.29","301.81","64.62M","2.85%"
"03/28/2022","299.24","296.09","299.30","295.66","50.15M","1.28%"
"03/25/2022","295.45","293.01","295.51","292.14","46.84M","1.23%"
"03/24/2022","291.85","289.93","291.89","289.04","48.35M","0.64%"
"03/23/2022","290.00","292.44","293.00","289.44","50.24M","-1.03%"
"03/22/2022","293.03","294.27","295.00","292.66","59.21M","0.05%"
"03/21/2022","292.87","294.55","295.91","291.49","45.39M","-0.52%"
"03/18/2022","294.41","294.93","295.64","292.60","100.88M","0.21%"
"03/17/2022","293.79","288.49","293.79","288.49","49.79M","1.36%"
"03/16/2022","289.84","288.89","291.02","283.94","63.63M","1.13%"
"03/15/2022","286.60","287.06","288.67","284.08","56.09M","0.70%"
"03/14/2022","284.60","287.80","288.53","283.39","57.05M","-0.73%"
"03/11/2022","286.69","291.43","292.74","286.57","51.64M","-0.93%"
"03/10/2022","289.38","285.49","289.91","284.19","52.91M","0.36%"
"03/09/2022","288.35","288.25","291.26","287.96","54.62M","1.47%"
"03/08/2022","284.16","285.75","289.48","283.86","69.24M","-0.88%"
"03/07/2022","286.69","291.14","292.08","286.67","62.79M","-1.80%"
"03/04/2022","291.94","287.49","291.99","286.87","63.47M","0.82%"
"03/03/2022","289.56","288.32","290.56","285.73","62.35M","1.10%"
"03/02/2022","286.42","282.34","287.38","282.34","71.67M","1.83%"
"03/01/2022","281.27","283.25","284.84","279.86","73.42M","-0.23%"
"02/28/2022","281.91","283.62","284.78","279.14","128.54M","-1.77%"
"02/25/2022","287.00","281.17","287.17","279.84","65.27M","2.49%"
"02/24/2022","280.03","271.84","280.77","269.62","80.97M","1.78%"
"02/23/2022","275.12","281.71","282.95","274.96","63.24M","-1.32%"
"02/22/2022","278.80","279.43","280.74","277.25","69.61M","-0.24%"
"02/18/2022","279.47","279.92","282.76","278.87","74.81M","-0.46%"
"02/17/2022","280.76","283.36","283.62","280.23","65.69M","-0.97%"
"02/16/2022","283.50","283.38","284.33","280.67","64.40M","0.25%"
"02/15/2022","282.80","284.50","285.21","281.97","63.06M","0.39%"
"02/14/2022","281.69","284.87","286.14","280.37","60.05M","-1.02%"
"02/11/2022","284.60","289.55","290.22","282.96","72.46M","-1.34%"
"02/10/2022","288.48","293.38","295.70","286.93","62.93M","-2.86%"
"02/09/2022","296.98","293.86","297.12","293.86","59.01M","2.38%"
"02/08/2022","290.08","291.98","292.67","289.60","59.67M","-0.80%"
"02/07/2022","292.42","293.07","294.53","291.84","55.79M","-0.09%"
"02/04/2022","292.68","294.54","296.35","290.45","50.45M","-1.26%"
"02/03/2022","296.42","298.05","298.98","296.30","48.88M","-1.10%"
"02/02/2022","299.72","296.13","300.32","296.13","63.29M","1.66%"
"02/01/2022","294.83","296.81","297.10","292.82","53.53M","-0.74%"
"01/31/2022","297.02","292.45","297.09","291.25","84.83M","1.25%"
"01/28/2022","293.34","284.44","293.37","281.03","68.01M","3.38%"
"01/27/2022","283.75","290.04","292.66","282.56","66.31M","-1.75%"
"01/26/2022","288.81","295.18","298.80","287.05","64.70M","-1.66%"
