,Market Capitalization,Book to Market Ratio
BK,41634832000.0,0.9811496297138895
BKNG,121787384000.0,0.022843088574757465
BKR,31389866000.0,0.4585556370326653
BLDR,20681591000.0,0.23995088192199526
BLK,117911970000.0,0.3289318293978126
BMY,101982167000.0,0.3051317785785038
BR,24355283000.0,0.09199646746046844
BRO,22457631000.0,0.20512404002007156
BSX,88807088000.0,0.1978783495299384
BWA,7808528000.0,0.9615128485163913
BX,143504327000.0,0.13714615727231697
BXP,10938717000.0,0.7652114960099983
C,101435228000.0,1.9930156809032853
CAG,14058126000.0,0.6264917528837058
CAH,25765765000.0,-0.1106895137792338
CARR,50217525000.0,0.1608203510627017
CAT,147039011000.0,0.1080733602050683
CB,98060403000.0,0.51518246360868
CBOE,19936360000.0,0.17381808915970617
CBRE,26388978000.0,0.32611084824884085
CCI,46816727000.0,0.15910979851282642
CCL,21226725000.0,0.33283514060694713
CDAY,10878930000.0,0.19389774545842284
CDNS,80405209000.0,0.03414098457228063
CDW,30115547000.0,0.05323828253891586
CE,15926575000.0,0.35393673781086016
CEG,37907452000.0,0.2999937848631979
CF,14531719000.0,0.347584480542185
CFG,15513061000.0,1.5271002931014066
CHD,24517474000.0,0.1423433751780465
CHRW,10183633000.0,0.13290168646101053
CHTR,55196348000.0,0.16521020557374558
CI,89257878000.0,0.5014011200221453
CINF,17565850000.0,0.6012803251764076
CL,67030721000.0,0.012024337318406585
CLX,17801226000.0,0.02179625156154975
CMA,7117216000.0,0.7279531771973761
CMCSA,175573991000.0,0.46101930894764476
CME,73427771000.0,0.3660563249291607
CMG,63721656000.0,0.03716198147769418
CMI,33151320000.0,0.30843417396351036
CMS,16510925000.0,0.42487019957997507
CNC,40364225000.0,0.6004574595449312
CNP,17358660000.0,0.5785008750675456
COF,49418707000.0,1.0640100316667533
COO,19144770000.0,0.3944158117334395
COP,128228409000.0,0.3743554207242796
COR,38515761000.0,0.01355297121092843
COST,305102946000.0,0.08212965600142058
CPB,13190925000.0,0.27769091250234534
CPRT,47521833000.0,0.12599345652344682
CPT,10589548000.0,0.4775388902340308
CRL,10980081000.0,0.27536272273401263
CRM,267913347000.0,0.2178278934345141
