,Cnsmr,Manuf,HiTec,Hlth ,Other
192907,   0.40,   4.56,  10.97,   2.59,   6.57
192908,   4.93,   9.73,  11.92,   3.09,   7.73
192909,  -5.75,  -3.94,  -5.10,  -7.02,  -6.40
192910, -20.43, -20.47, -22.65, -18.02, -11.76
192911, -12.13, -12.35, -14.84,  -7.90,  -9.57
192912,   0.12,   2.35,   6.10,   1.11,  -0.49
193001,   5.53,   5.04,   6.32,   2.55,   4.89
193002,   0.48,   2.23,   7.45,   3.15,   3.25
193003,   3.87,  10.15,   8.41,   5.99,   4.84
193004,  -1.72,  -1.07,  -0.84,  -1.27,  -6.44
193005,   1.86,  -2.14,  -2.40,  -1.49,  -0.96
193006, -15.68, -16.95, -14.85, -13.34, -11.70
193007,   5.40,   4.64,   2.78,   6.52,   3.44
193008,   1.56,  -0.43,   2.00,   7.71,  -0.38
193009, -11.51, -13.57, -12.35,  -8.70, -10.51
193010,  -7.46,  -9.06, -10.87,  -4.37,  -8.43
193011,   2.04,  -3.75,  -3.27,  -3.23,  -5.17
193012,  -5.83,  -7.80,  -7.09,  -6.79,  -8.80
193101,   6.47,   4.50,   4.99,   8.23,  11.89
193102,  11.35,  12.07,  13.43,   7.81,   5.47
193103,  -2.64,  -7.06,  -5.64,   1.80,  -9.40
193104,  -5.90, -12.30,  -8.48,  -3.62,  -9.89
193105, -10.64, -13.86, -10.76, -10.26, -17.39
193106,  11.01,  15.12,  13.99,   9.69,  16.22
193107,  -2.84,  -7.23,  -7.25,   2.61,  -9.86
193108,  -0.32,   1.32,   2.02,   0.39,  -3.98
193109, -28.58, -30.86, -26.78, -29.45, -26.50
193110,   9.99,   9.38,   7.02,  11.26,   1.90
193111,  -5.42,  -7.29,  -9.77,  -2.79, -19.17
193112, -10.69, -15.53, -10.06,  -4.10, -16.53
193201,  -0.41,  -2.19,  -6.74,  -2.66,   6.79
193202,   4.33,   6.96,   9.78,   2.05,  -0.28
193203, -10.33,  -9.70, -11.41,  -6.41, -15.96
193204, -15.89, -18.19, -16.23, -19.77, -22.36
193205, -22.68, -17.82, -16.06, -34.08, -30.02
193206,  -0.75,   1.25,  -5.41,  11.05,  -2.00
193207,  28.44,  35.86,  24.40,  29.18,  55.85
193208,  28.96,  37.21,  33.84,  35.87,  58.67
193209,   1.90,  -5.19,  -1.82, -11.92,  -4.15
193210, -14.57, -11.22, -11.87, -18.56, -17.99
193211,  -5.92,  -6.63,  -3.36,   5.53,  -6.90
193212,   4.21,   4.23,   4.82,   6.82,   4.88
193301,   2.25,  -0.93,   0.65,  -1.13,   8.53
193302, -14.05, -17.32, -11.55, -10.82, -16.41
193303,   9.79,   1.84,  -2.51,  -3.16,   3.77
193304,  43.67,  43.53,  25.52,  37.13,  30.80
193305,  16.46,  22.17,  18.29,  23.49,  31.54
193306,  13.98,  13.15,  10.62,  10.39,  14.50
193307,  -8.18, -12.04,  -6.94, -19.11,  -6.62
193308,  12.01,  13.05,   7.59,  -0.38,  14.59
193309,  -9.79,  -9.93,  -8.79,  -1.31, -16.39
193310,  -9.10,  -6.99,  -8.08,  -6.02, -10.91
193311,  12.06,  10.72,   8.12,   9.40,   5.35
193312,   2.04,   2.24,  -1.86, -11.73,   4.70
193401,  12.49,  11.77,   9.78,  16.77,  18.58
193402,  -2.36,  -2.99,  -1.24,  -3.59,  -1.88
193403,   1.00,  -1.36,   1.99,  -0.64,   0.82
193404,  -0.90,  -2.69,  -1.67,   8.00,  -1.60
193405,  -6.92,  -8.07,  -5.18,  -0.38,  -7.36
193406,   1.78,   3.31,   1.87,   2.04,   3.12
193407,  -8.05, -11.92,  -7.27,  -1.89, -17.37
193408,   5.90,   6.26,   4.05,  -3.05,   4.41
193409,   0.88,  -1.11,   1.07,   0.80,  -0.37
193410,   0.21,  -2.81,  -1.33,  -0.71,  -2.22
193411,  10.93,   9.14,   4.01,   4.07,   5.64
193412,   0.17,   0.37,   1.16,   0.62,  -0.19
193501,  -4.30,  -3.07,   0.21,  -0.86,  -6.72
193502,  -0.12,  -3.45,   0.68,   4.25,  -4.70
193503,  -4.85,  -2.72,  -2.18,  -3.14,  -5.34
193504,   5.90,  11.11,   9.60,   3.18,   8.75
193505,   1.88,   3.79,   5.96,  -4.02,   3.88
193506,   6.72,   5.35,   6.57,   4.09,   6.33
193507,   8.13,   7.27,   7.35,   3.19,   7.26
193508,   2.42,   2.30,   3.70,   0.29,   3.41
193509,   3.88,   1.24,   5.76,   1.11,   0.62
193510,   6.59,   9.02,   5.59,   5.97,   2.42
193511,   2.28,   3.54,   7.97,   1.74,  13.23
193512,   2.65,   6.81,   1.45,   2.35,   4.29
193601,   2.21,   9.04,   5.21,   3.46,  12.17
193602,   1.78,   2.52,   3.73,   3.45,   2.81
193603,   2.93,   2.00,  -1.91,   3.52,  -2.94
193604,  -6.79,  -9.27,  -7.00,  -9.19,  -7.41
193605,   4.97,   4.60,   5.91,   4.80,   7.40
193606,   4.56,   1.73,   1.93,   1.29,   1.75
193607,   4.32,   7.39,   6.69,   4.65,   9.64
193608,   0.76,   0.64,   2.06,  -1.48,   1.85
193609,   1.50,   1.32,  -0.40,   0.77,   0.90
193610,   5.64,   8.72,   5.39,   3.78,   8.10
193611,   3.79,   3.27,   4.63,   3.40,   0.48
193612,  -5.01,   3.43,   1.01,  -2.04,  -1.18
193701,   3.54,   3.75,   3.66,   3.47,   1.04
193702,   0.88,   1.54,  -2.20,  -3.72,   4.78
193703,  -2.47,   1.08,  -3.30,  -5.03,   2.70
193704,  -7.09,  -7.90,  -6.43,  -3.32,  -6.83
